centre_id,pop_1994,pop_2004
045810705,4649.0,4496.0
045810707,5492.0,5194.0
045810709,8252.0,8329.0
045810711,5407.0,5233.0
045810713,7733.0,6960.0
045810715,7528.0,6932.0
045810717,8205.0,7879.0
045810901,3978.0,4205.0
045810903,6270.0,5472.0
045810905,4847.0,4281.0
045810907,2466.0,1992.0
045810909,3682.0,3096.0
045810911,2396.0,1887.0
045811101,8119.0,7503.0
045811103,13561.0,12944.0
045811105,12572.0,12112.0
045811107,8365.0,7918.0
045811109,7443.0,6472.0
045811111,13680.0,14328.0
045811113,6975.0,6826.0
045811115,12829.0,14632.0
045870101,5870.0,7951.0
045870113,26174.0,34851.0
045870301,6906.0,7170.0
045870303,8290.0,8317.0
045870305,5568.0,5293.0
045870307,8010.0,9649.0
045870321,7603.0,8234.0
045870325,5344.0,6782.0
045870327,9523.0,10621.0
045870331,8140.0,8867.0
045870337,9099.0,10462.0
045870339,11645.0,12110.0
045870341,13134.0,13721.0
045870909,5256.0,4640.0
045870911,17175.0,18399.0
045870913,9444.0,10060.0
045870915,8701.0,9492.0
045870917,7387.0,8281.0
045870919,11021.0,11157.0
045870923,8508.0,7764.0
045870929,3850.0,4787.0
045870933,16688.0,17553.0
045870935,18065.0,19560.0
045870943,12140.0,14185.0
045870945,12264.0,13462.0
052810101,292453.0,359142.0
052810105,5905.0,16262.0
052810107,69645.0,78060.0
052810109,29965.0,31705.0
052810111,37216.0,43392.0
052810301,36192.0,41093.0
052810303,42662.0,51874.0
052810305,10738.0,11856.0
052810307,23915.0,29354.0
052810309,24263.0,26966.0
052810311,14162.0,15936.0
0528103132,,5055.0
0528103133,,19979.0
052810501,10340.0,9972.0
052810503,19260.0,20419.0
052810505,27429.0,31453.0
052810507,19914.0,23218.0
052810509,17566.0,18879.0
052810511,11700.0,12100.0
052810513,25982.0,27972.0
052810515,16075.0,18799.0
0528107012,,27312.0
0528107013,,2333.0
052810703,36270.0,43282.0
052810705,11812.0,11147.0
052810707,9289.0,8384.0
052810901,22178.0,27488.0
052810903,16894.0,17202.0
0528109052,,11839.0
